customer_id,customer_name,region,customer_revenue,rank_in_region
CUST00628,Cynthia Good,Central,36417.35999999999,1
CUST00973,Robert Hobbs,Central,26653.28,2
CUST00066,Garrett Gibson,Central,26031.8,3
CUST00681,Julie Bryant,Central,24305.02999999999,4
CUST01171,Brandon Ward,Central,23427.289999999997,5
CUST01095,Barbara Anderson,East,27596.940000000002,1
CUST00294,Richard Hardy,East,25688.310000000005,2
CUST00110,Jamie Stewart,East,24070.819999999996,3
CUST00290,Michael Guerrero,East,23154.180000000008,4
CUST00414,Sherry Baker,East,19008.349999999995,5
CUST01133,Veronica Walker,North,21458.430000000004,1
CUST00546,John Sanchez,North,20663.670000000002,2
CUST00755,Daniel Pennington,North,19501.600000000002,3
CUST01015,Melissa Davis,North,19485.239999999998,4
CUST00051,Roy Torres,North,19233.100000000002,5
CUST00198,Christian Cole,South,21070.69,1
CUST00506,Jeffrey Smith,South,20623.01,2
CUST00606,Wendy Turner,South,20577.660000000003,3
CUST00617,Ann Powers,South,20553.319999999996,4
CUST00648,Mary Hernandez,South,18876.18,5
CUST00557,Jason Goodwin,West,24653.010000000006,1
CUST00547,Mr. James Kramer,West,21340.300000000003,2
CUST01154,Christopher Lopez,West,19018.79,3
CUST01128,Pamela Young,West,18971.64,4
CUST00887,Brandon Guerrero,West,18931.089999999997,5
